target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YHR128W_mRNA	YDR520C_mRNA	1.000000						0.500000	5.000000	1.000000
YBR065C_mRNA	YJL206C_mRNA	0.999998						1.000000	5.000000	1.000000
YBR065C_mRNA	YNL167C_mRNA	0.999996						1.000000	5.000000	1.000000
YDR332W_mRNA	YER045C_mRNA	0.999994						0.500000	5.000000	1.000000
YCL063W_mRNA	YLR098C_mRNA	0.999993						0.500000	5.000000	1.000000
YCL063W_mRNA	YIL131C_mRNA	0.999986						0.500000	5.000000	1.000000
YBR019C_mRNA	YML051W_mRNA	0.999986						1.000000	5.000000	1.000000
YBR019C_mRNA	YPL248C_mRNA	0.999982						1.000000	5.000000	1.000000
YPR157W_mRNA	YPR008W_mRNA	0.999982						1.000000	5.000000	1.000000
YER001W_mRNA	YOL089C_mRNA	0.999981						0.500000	5.000000	1.000000
YBR019C_mRNA	YOR363C_mRNA	0.999981						1.000000	5.000000	1.000000
YLR360W_mRNA	YOR230W_mRNA	0.999979						0.500000	5.000000	1.000000
YBR019C_mRNA	YDR043C_mRNA	0.999978						1.000000	5.000000	1.000000
YPR157W_mRNA	YIL131C_mRNA	0.999973						1.000000	5.000000	1.000000
YBR019C_mRNA	YMR037C_mRNA	0.999969						1.000000	5.000000	1.000000
YDR332W_mRNA	YGL013C_mRNA	0.999969						0.500000	5.000000	1.000000
YBR019C_mRNA	YDR253C_mRNA	0.999966						1.000000	5.000000	1.000000
YPR157W_mRNA	YMR037C_mRNA	0.999958						1.000000	5.000000	1.000000
YMR202W_mRNA	YDR213W_mRNA	0.999957						0.166667	5.000000	0.994109
YBR169C_mRNA	YJL110C_mRNA	0.999956						0.500000	5.000000	0.995174
YPL092W_mRNA	YGL254W_mRNA	0.999954						0.333333	5.000000	0.990812
YJR148W_mRNA	YJR147W_mRNA	0.999951						0.125000	5.000000	0.984588
YJL153C_mRNA	YOR140W_mRNA	0.999950						0.333333	5.000000	0.979529
YPR157W_mRNA	YML007W_mRNA	0.999949						1.000000	5.000000	1.000000
YFR017C_mRNA	YER028C_mRNA	0.999948						0.250000	5.000000	0.975313
YJL153C_mRNA	YHL020C_mRNA	0.999946						0.333333	5.000000	0.963699
YIL162W_mRNA	YGL209W_mRNA	0.999946						0.500000	5.000000	0.959198
YER001W_mRNA	YMR016C_mRNA	0.999945						0.500000	5.000000	1.000000
YNR001C_mRNA	YGL252C_mRNA	0.999943						0.142857	5.000000	0.946820
YLR360W_mRNA	YGL013C_mRNA	0.999942						0.500000	5.000000	1.000000
YBR068C_mRNA	YHR006W_mRNA	0.999941						0.500000	5.000000	0.961061
YCL055W_mRNA	YGR044C_mRNA	0.999941						1.000000	5.000000	0.952428
YER001W_mRNA	YMR037C_mRNA	0.999939						0.500000	5.000000	1.000000
YAL040C_mRNA	YOR113W_mRNA	0.999938						0.500000	5.000000	0.897808
YBR169C_mRNA	YGL073W_mRNA	0.999933						0.500000	5.000000	0.865278
YGL226W_mRNA	YHL009C_mRNA	0.999932						0.500000	5.000000	0.814832
YLL023C_mRNA	YKL038W_mRNA	0.999932						0.333333	5.000000	0.809479
YKL203C_mRNA	YOL067C_mRNA	0.999930						1.000000	5.000000	0.798216
YMR202W_mRNA	YMR070W_mRNA	0.999929						0.166667	5.000000	0.745202
YLR420W_mRNA	YLR014C_mRNA	0.999928						0.500000	5.000000	0.786423
YJR094C_mRNA	YBR182C_mRNA	0.999924						1.000000	5.000000	0.760958
YFR041C_mRNA	YMR019W_mRNA	0.999921						1.000000	5.000000	0.713584
YKR024C_mRNA	YPL128C_mRNA	0.999919						1.000000	5.000000	0.689618
YGR144W_mRNA	YDR081C_mRNA	0.999912						1.000000	5.000000	0.651425
YJL106W_mRNA	YJR094C_mRNA	0.999911						1.000000	5.000000	0.636486
YER001W_mRNA	YEL009C_mRNA	0.999910						0.500000	5.000000	1.000000
YKL043W_mRNA	YBR239C_mRNA	0.999909						0.250000	5.000000	0.645582
YER001W_mRNA	YJR060W_mRNA	0.999906						0.500000	5.000000	1.000000
YDR515W_mRNA	YJR127C_mRNA	0.999903						1.000000	5.000000	0.586364
YBR169C_mRNA	YOR028C_mRNA	0.999903						0.500000	5.000000	0.643270
YDR244W_mRNA	YML099C_mRNA	0.999903						1.000000	5.000000	0.585844
YMR202W_mRNA	YLR256W_mRNA	0.999901						0.166667	5.000000	0.494442
YJL026W_mRNA	YER169W_mRNA	0.999899						0.250000	5.000000	0.594770
YIL162W_mRNA	YGL035C_mRNA	0.999895						0.500000	5.000000	0.569329
YLR174W_mRNA	YER184C_mRNA	0.999894						0.250000	5.000000	0.538187
YCL055W_mRNA	YDL056W_mRNA	0.999893						1.000000	5.000000	0.546957
YMR081C_mRNA	YPL133C_mRNA	0.999892						0.500000	5.000000	0.548787
YCL055W_mRNA	YDL020C_mRNA	0.999891						1.000000	5.000000	0.601730
YPL016W_mRNA	YOL116W_mRNA	0.999886						1.000000	5.000000	0.506962
YBR166C_mRNA	YKR034W_mRNA	0.999884						0.500000	5.000000	0.470422
YDL210W_mRNA	YKR034W_mRNA	0.999882						0.500000	5.000000	0.487024
YML086C_mRNA	YOL028C_mRNA	0.999880						1.000000	5.000000	0.465992
YHR139C_mRNA	YMR172W_mRNA	0.999878						0.250000	5.000000	0.467300
YDR232W_mRNA	YBL021C_mRNA	0.999876						0.500000	5.000000	0.459762
YGR144W_mRNA	YBR240C_mRNA	0.999876						1.000000	5.000000	0.461706
YDL210W_mRNA	YDL170W_mRNA	0.999872						0.500000	5.000000	0.463152
YPL122C_mRNA	YDL170W_mRNA	0.999870						0.500000	5.000000	0.460620
YDR373W_mRNA	YLR228C_mRNA	0.999863						1.000000	5.000000	0.431616
YCL055W_mRNA	YMR043W_mRNA	0.999863						1.000000	5.000000	0.426846
YLR128W_mRNA	YJL089W_mRNA	0.999860						1.000000	5.000000	0.427694
YLR375W_mRNA	YMR182C_mRNA	0.999860						0.333333	5.000000	0.430345
YKL182W_mRNA	YHL020C_mRNA	0.999859						0.200000	5.000000	0.419434
YAL054C_mRNA	YMR280C_mRNA	0.999857						0.500000	5.000000	0.409495
YJL178C_mRNA	YLR013W_mRNA	0.999857						0.500000	5.000000	0.407065
YGL055W_mRNA	YIR033W_mRNA	0.999856						0.250000	5.000000	0.412637
YLR219W_mRNA	YOR358W_mRNA	0.999855						0.500000	5.000000	0.405665
YOR075W_mRNA	YBR297W_mRNA	0.999852						0.500000	5.000000	0.404316
YGR256W_mRNA	YNL103W_mRNA	0.999850						0.500000	5.000000	0.419563
YAL040C_mRNA	YFR034C_mRNA	0.999850						0.500000	5.000000	0.398701
YGR295C_mRNA	YJL056C_mRNA	0.999843						1.000000	5.000000	0.374979
YHL048W_mRNA	YMR182C_mRNA	0.999840						0.333333	5.000000	0.363616
YNL312W_mRNA	YDL170W_mRNA	0.999839						0.333333	5.000000	0.360304
YFR033C_mRNA	YBR239C_mRNA	0.999834						0.200000	5.000000	0.359016
YKL197C_mRNA	YJR127C_mRNA	0.999832						1.000000	5.000000	0.404561
YJR044C_mRNA	YPR199C_mRNA	0.999830						0.333333	5.000000	0.359643
YPL016W_mRNA	YDR259C_mRNA	0.999827						1.000000	5.000000	0.378136
YGR043C_mRNA	YMR172W_mRNA	0.999826						0.333333	5.000000	0.347740
YGL255W_mRNA	YMR070W_mRNA	0.999826						1.000000	5.000000	0.379633
YJL106W_mRNA	YPL089C_mRNA	0.999824						1.000000	5.000000	0.349300
YGR256W_mRNA	YPR065W_mRNA	0.999821						0.500000	5.000000	0.350876
YKR009C_mRNA	YER184C_mRNA	0.999820						0.333333	5.000000	0.342095
YBR006W_mRNA	YIR023W_mRNA	0.999817						0.500000	5.000000	0.341367
YNL009W_mRNA	YKL109W_mRNA	0.999816						1.000000	5.000000	0.336250
YNL336W_mRNA	YPL248C_mRNA	0.999814						1.000000	5.000000	0.321490
YJL164C_mRNA	YGL035C_mRNA	0.999814						0.500000	5.000000	0.332508
YAL062W_mRNA	YPR199C_mRNA	0.999812						0.250000	5.000000	0.322769
YGL077C_mRNA	YMR021C_mRNA	0.999812						0.333333	5.000000	0.341019
YFR041C_mRNA	YFL031W_mRNA	0.999812						1.000000	5.000000	0.327563
YAL062W_mRNA	YBR297W_mRNA	0.999810						0.250000	5.000000	0.328049
YKL216W_mRNA	YLR014C_mRNA	0.999809						0.500000	5.000000	0.331632
YGR157W_mRNA	YHL020C_mRNA	0.999806						0.333333	5.000000	0.324551
YDR533C_mRNA	YDR423C_mRNA	0.999806						0.333333	5.000000	0.330899
YNL116W_mRNA	YJL089W_mRNA	0.999806						0.500000	5.000000	0.335008
YNL036W_mRNA	YMR070W_mRNA	0.999798						0.125000	5.000000	0.310266
YLR237W_mRNA	YBR240C_mRNA	0.999794						1.000000	5.000000	0.316973
YGR144W_mRNA	YNL167C_mRNA	0.999788						1.000000	5.000000	0.304726
YPL092W_mRNA	YIL131C_mRNA	0.999786						0.333333	5.000000	0.339261
YMR304C-A_mRNA,YMR305C_mRNA	YKL185W_mRNA	0.999784						0.666667	5.000000	0.274741
YGR256W_mRNA	YKL015W_mRNA	0.999783						0.500000	5.000000	0.290806
YIL072W_mRNA	YJR094C_mRNA	0.999780						0.500000	5.000000	0.286321
YCR010C_mRNA	YMR280C_mRNA	0.999776						0.250000	5.000000	0.281660
YJL106W_mRNA	YHR206W_mRNA	0.999775						1.000000	5.000000	0.271423
YGR087C_mRNA	YNL103W_mRNA	0.999772						0.500000	5.000000	0.271744
YJL106W_mRNA	YIR018W_mRNA	0.999772						1.000000	5.000000	0.259459
YPL214C_mRNA	YGL035C_mRNA	0.999770						1.000000	5.000000	0.274321
YDR522C_mRNA	YOR032C_mRNA	0.999770						1.000000	5.000000	0.251701
YDR101C_mRNA	YPL128C_mRNA	0.999768						0.500000	5.000000	0.289791
YHR160C_mRNA	YDR451C_mRNA	0.999764						1.000000	5.000000	0.270559
YDR378C_mRNA	YDR421W_mRNA	0.999762						0.333333	5.000000	0.270873
YJL153C_mRNA	YDR207C_mRNA	0.999759						0.333333	5.000000	0.239493
YBR021W_mRNA	YOL116W_mRNA	0.999759						0.500000	5.000000	0.266130
YNL336W_mRNA	YJL056C_mRNA	0.999756						1.000000	5.000000	0.260649
YHR091C_mRNA	YMR182C_mRNA	0.999755						0.500000	5.000000	0.281708
YMR110C_mRNA	YKL020C_mRNA	0.999755						0.500000	5.000000	0.260219
YGR142W_mRNA	YGL073W_mRNA	0.999754	1.000000	1.000000	0.001550	0.039086	0.003096	0.000000	5.000000	0.257104
YDL001W_mRNA	YNL199C_mRNA	0.999752						1.000000	5.000000	0.254265
YDR471W_mRNA	YOR032C_mRNA	0.999747						0.166667	5.000000	0.253204
YJL164C_mRNA	YMR280C_mRNA	0.999746						0.500000	5.000000	0.255368
YDR373W_mRNA	YIL036W_mRNA	0.999740						1.000000	5.000000	0.234343
YOL152W_mRNA	YMR021C_mRNA	0.999740						0.500000	5.000000	0.240386
YFR041C_mRNA	YHL027W_mRNA	0.999737						1.000000	5.000000	0.236234
YDR075W_mRNA	YDR421W_mRNA	0.999737						0.500000	5.000000	0.246630
YPL122C_mRNA	YJL089W_mRNA	0.999735						0.500000	5.000000	0.245069
YPL223C_mRNA	YMR172W_mRNA	0.999734						0.166667	5.000000	0.231161
YNL125C_mRNA	YDR421W_mRNA	0.999733						0.333333	5.000000	0.236664
YJL106W_mRNA	YDR207C_mRNA	0.999732						1.000000	5.000000	0.232944
YPL106C_mRNA	YGL073W_mRNA	0.999730						0.250000	5.000000	0.246605
YBR101C_mRNA	YGL073W_mRNA	0.999730	1.000000	1.000000	0.003101	0.055277	0.006182	0.000000	5.000000	0.244448
YMR304C-A_mRNA,YMR305C_mRNA	YKL043W_mRNA	0.999728						0.666667	5.000000	0.220694
YOR020C_mRNA	YGL073W_mRNA	0.999723						0.142857	5.000000	0.254702
YKL187C_mRNA	YIL036W_mRNA	0.999722						0.500000	5.000000	0.223245
YGL055W_mRNA	YMR164C_mRNA	0.999721						0.250000	5.000000	0.226903
YFR041C_mRNA	YGL096W_mRNA	0.999720						0.000000	5.000000	0.233785
YLR216C_mRNA	YGL073W_mRNA	0.999719						0.142857	5.000000	0.243313
YGL184C_mRNA	YNL103W_mRNA	0.999713						1.000000	5.000000	0.225955
YDR497C_mRNA	YHL020C_mRNA	0.999710						0.166667	5.000000	0.226489
YOR100C_mRNA	YGL096W_mRNA	0.999708						1.000000	5.000000	0.220939
YDR179C_mRNA	YOR032C_mRNA	0.999706						1.000000	5.000000	0.223218
YPL231W_mRNA	YHL020C_mRNA	0.999703						0.166667	5.000000	0.211028
YGR075C_mRNA	YGR249W_mRNA	0.999703						1.000000	5.000000	0.228053
YCL018W_mRNA	YLR451W_mRNA	0.999699						0.500000	5.000000	0.208912
YNL009W_mRNA	YKR099W_mRNA	0.999699						1.000000	5.000000	0.215892
YDL215C_mRNA	YIR023W_mRNA	0.999697						0.500000	5.000000	0.216084
YDR525W-A_mRNA	YKL043W_mRNA	0.999697						0.500000	5.000000	0.366752
YCR105W_mRNA	YER169W_mRNA	0.999697						0.500000	5.000000	0.221682
YNL013C_mRNA,YNL014W_mRNA	YCR065W_mRNA	0.999695						0.500000	5.000000	0.212428
YMR250W_mRNA	YCR065W_mRNA	0.999689						0.333333	5.000000	0.219863
YKL216W_mRNA	YBL103C_mRNA	0.999688						0.500000	5.000000	0.202940
YHL046C_mRNA	YLR013W_mRNA	0.999681						1.000000	5.000000	0.200748
YNL258C_mRNA	YBL005W_mRNA	0.999681						1.000000	5.000000	0.207801
YGR254W_mRNA	YDR146C_mRNA	0.999680						0.125000	5.000000	0.211428
YMR284W_mRNA	YOR358W_mRNA	0.999676						0.500000	5.000000	0.193425
YGR146C_mRNA	YPR065W_mRNA	0.999672						0.500000	5.000000	0.195343
YER103W_mRNA	YGL073W_mRNA	0.999671						0.333333	5.000000	0.203298
YGL255W_mRNA	YJL056C_mRNA	0.999670						1.000000	5.000000	0.217875
YDL223C_mRNA	YGL096W_mRNA	0.999670						1.000000	5.000000	0.200934
YDL214C_mRNA	YDR259C_mRNA	0.999665						0.333333	5.000000	0.185011
YGR211W_mRNA	YGL073W_mRNA	0.999665						0.200000	5.000000	0.206573
YER025W_mRNA	YMR042W_mRNA	0.999664						0.500000	5.000000	0.195149
YOR236W_mRNA	YBR182C_mRNA	0.999660						0.500000	5.000000	0.218289
YGR254W_mRNA	YPL075W_mRNA	0.999658						0.125000	5.000000	0.196668
YOR084W_mRNA	YPL133C_mRNA	0.999657						0.500000	5.000000	0.200648
YLL055W_mRNA	YGL071W_mRNA	0.999655						1.000000	5.000000	0.200131
YPL016W_mRNA	YNL167C_mRNA	0.999648						1.000000	5.000000	0.185584
YGR233C_mRNA	YDR423C_mRNA	0.999647						1.000000	5.000000	0.188394
YFR017C_mRNA	YLR403W_mRNA	0.999646						0.250000	5.000000	0.189078
YBR222C_mRNA	YMR019W_mRNA	0.999644						0.250000	5.000000	0.187865
YHR005C-A_mRNA	YKL038W_mRNA	0.999643						0.200000	5.000000	0.186859
YDR244W_mRNA	YAL051W_mRNA	0.999643						1.000000	5.000000	0.186139
YPR201W_mRNA	YPR199C_mRNA	0.999642						1.000000	5.000000	0.180867
YLR350W_mRNA	YDR463W_mRNA	0.999641						0.333333	5.000000	0.185647
YER103W_mRNA	YLR228C_mRNA	0.999639						0.333333	5.000000	0.182027
YNL007C_mRNA	YGL073W_mRNA	0.999639	1.000000	1.000000	0.004651	0.067700	0.009259	0.000000	5.000000	0.186902
YGL255W_mRNA	YNL199C_mRNA	0.999639						1.000000	5.000000	0.186572
YDL182W_mRNA	YBL103C_mRNA	0.999631						0.200000	5.000000	0.183797
YDR373W_mRNA	YDL020C_mRNA	0.999631						1.000000	5.000000	0.180205
YLL005C_mRNA	YDR310C_mRNA	0.999629						1.000000	5.000000	0.180722
YPR173C_mRNA	YHL009C_mRNA	0.999628						0.200000	5.000000	0.182934
YNL077W_mRNA	YGL073W_mRNA	0.999627						0.500000	5.000000	0.181040
YDR171W_mRNA	YBL103C_mRNA	0.999625						0.166667	5.000000	0.172862
YOL077C_mRNA	YNL314W_mRNA	0.999623						0.500000	5.000000	0.170094
YNL078W_mRNA	YDR146C_mRNA	0.999622						0.500000	5.000000	0.181075
YNL009W_mRNA	YOR363C_mRNA	0.999621						1.000000	5.000000	0.181585
YGR172C_mRNA	YPL248C_mRNA	0.999618						0.500000	5.000000	0.180046
YDR343C_mRNA	YDR043C_mRNA	0.999616						0.500000	5.000000	0.172426
YKR101W_mRNA	YDR259C_mRNA	0.999612						0.500000	5.000000	0.191216
YOR302W_mRNA,YOR303W_mRNA	YMR042W_mRNA	0.999609						1.125000	5.000000	0.187021
YIL046W_mRNA	YNL103W_mRNA	0.999609						0.500000	5.000000	0.179641
YGR295C_mRNA	FLO8_mRNA	0.999604						1.000000	5.000000	0.169802
YOR303W_mRNA	YMR042W_mRNA	0.999602						0.125000	5.000000	0.177807
YJR046W_mRNA	YLR131C_mRNA	0.999599						0.500000	5.000000	0.169860
YOL083W_mRNA	YBL005W_mRNA	0.999599						0.333333	5.000000	0.174461
YKR006C_mRNA	YBR297W_mRNA	0.999598						0.500000	5.000000	0.167841
YPR107C_mRNA	YLR228C_mRNA	0.999595						1.000000	5.000000	0.164999
YBL042C_mRNA	YOL116W_mRNA	0.999589						0.500000	5.000000	0.167502
YJR094C_mRNA	YIL101C_mRNA	0.999585						1.000000	5.000000	0.164558
YER150W_mRNA	YGL073W_mRNA	0.999581						0.200000	5.000000	0.164823
YLL024C_mRNA	YGL073W_mRNA	0.999578	1.000000	1.000000	0.006202	0.078175	0.012327	0.000000	5.000000	0.171350
YHR081W_mRNA	YPL133C_mRNA	0.999578						0.500000	5.000000	0.169105
YKL006C-A_mRNA	YDL106C_mRNA	0.999575						0.500000	5.000000	0.163557
YGR256W_mRNA	YHR178W_mRNA	0.999574						0.500000	5.000000	0.160369
YGR175C_mRNA	YIR033W_mRNA	0.999574						0.500000	5.000000	0.163490
YBR210W_mRNA	YPL177C_mRNA	0.999573						1.000000	5.000000	0.161178
YDR279W_mRNA	YBL103C_mRNA	0.999572						0.500000	5.000000	0.163846
YDL215C_mRNA	YMR280C_mRNA	0.999567						0.500000	5.000000	0.171539
YBR196C_mRNA	YPL075W_mRNA	0.999566						0.200000	5.000000	0.156887
YCR045C_mRNA	YOR344C_mRNA	0.999557						1.000000	5.000000	0.148086
YPL240C_mRNA	YGL073W_mRNA	0.999554	1.000000	1.000000	0.007752	0.087403	0.015385	0.000000	5.000000	0.161892
YNL280C_mRNA	YNL314W_mRNA	0.999553						0.333333	5.000000	0.160491
YCL043C_mRNA	YFL031W_mRNA	0.999553						0.200000	5.000000	0.155472
YOR377W_mRNA	YIR033W_mRNA	0.999551						1.000000	5.000000	0.156449
YBR021W_mRNA	YDR259C_mRNA	0.999550						0.000000	-5.000000	0.163423
YFR017C_mRNA	YIL131C_mRNA	0.999549						0.250000	5.000000	0.151792
YPL230W_mRNA	YPR065W_mRNA	0.999548						0.500000	5.000000	0.153629
YHR136C_mRNA	YDR421W_mRNA	0.999547						0.250000	5.000000	0.148898
YCL055W_mRNA	YDR310C_mRNA	0.999540						0.000000	5.000000	0.206654
YOR383C_mRNA	YKL015W_mRNA	0.999537						0.500000	5.000000	0.149906
YGL055W_mRNA	YKL020C_mRNA	0.999537						0.250000	5.000000	0.149052
YDR343C_mRNA	YHL027W_mRNA	0.999533						0.500000	5.000000	0.146477
YJR016C_mRNA	YLR451W_mRNA	0.999533						0.500000	5.000000	0.156469
YOR206W_mRNA	YMR042W_mRNA	0.999532						0.500000	5.000000	0.163417
YKL175W_mRNA	YJL056C_mRNA	0.999532						0.500000	5.000000	0.148963
YDR258C_mRNA	YGL073W_mRNA	0.999529						0.333333	5.000000	0.147840
YBR008C_mRNA	YBL005W_mRNA	0.999528						1.000000	5.000000	0.144248
YOR027W_mRNA	YGL073W_mRNA	0.999527	1.000000	1.000000	0.009302	0.095746	0.018433	0.000000	5.000000	0.145096
YOL164W_mRNA	YCR065W_mRNA	0.999524						1.000000	5.000000	0.147688
YHR142W_mRNA	YLR131C_mRNA	0.999523						0.500000	5.000000	0.159012
YFL016C_mRNA	YGL073W_mRNA	0.999518						0.333333	5.000000	0.138560
YAL012W_mRNA	YOL028C_mRNA	0.999515						0.500000	5.000000	0.147408
YBR039W_mRNA	YOR358W_mRNA	0.999513						0.200000	5.000000	0.147846
YJL035C_mRNA	YFL031W_mRNA	0.999511						1.000000	5.000000	0.157254
YER139C_mRNA	YOL067C_mRNA	0.999509						1.000000	5.000000	0.159809
YAL005C_mRNA	YGL073W_mRNA	0.999509	1.000000	1.000000	0.010853	0.103419	0.021472	0.000000	5.000000	0.144186
YNL244C_mRNA	YIL131C_mRNA	0.999504						0.333333	5.000000	0.139348
YDR068W_mRNA	YNL314W_mRNA	0.999502						0.500000	5.000000	0.147715
YOL055C_mRNA	YDR081C_mRNA	0.999501						0.500000	5.000000	0.144232
YDR384C_mRNA	YMR280C_mRNA	0.999496						0.333333	5.000000	0.139798
YGL136C_mRNA	YPL075W_mRNA	0.999494						0.500000	5.000000	0.134381
YNR002C_mRNA	YGL096W_mRNA	0.999489						0.333333	5.000000	0.137847
YER096W_mRNA	YDR043C_mRNA	0.999485						1.000000	5.000000	0.147535
YMR193W_mRNA	YPL177C_mRNA	0.999482						0.500000	5.000000	0.137891
YKL150W_mRNA	YNL167C_mRNA	0.999482						0.333333	5.000000	0.138084
YKL011C_mRNA	YIR023W_mRNA	0.999480						1.000000	5.000000	0.135330
YGL255W_mRNA	YKL020C_mRNA	0.999479						1.000000	5.000000	0.128961
YPL024W_mRNA	YMR164C_mRNA	0.999478						0.500000	5.000000	0.145749
YDR179C_mRNA	YBR240C_mRNA	0.999477						1.000000	5.000000	0.194608
YLR220W_mRNA	YIR018W_mRNA	0.999476						0.500000	5.000000	0.134201
YMR013C_mRNA	YPL177C_mRNA	0.999476						1.000000	5.000000	0.131339
YOR383C_mRNA	YPL202C_mRNA	0.999476						0.500000	5.000000	0.131701
YKL187C_mRNA	YDR216W_mRNA	0.999472						0.500000	5.000000	0.134923
YKL198C_mRNA	YKL020C_mRNA	0.999471						1.000000	5.000000	0.138431
YDR232W_mRNA	YGL237C_mRNA	0.999471						0.500000	5.000000	0.137783
YNL001W_mRNA	YPL177C_mRNA	0.999470						0.500000	5.000000	0.136642
YJL066C_mRNA,YJL067W_mRNA	YER169W_mRNA	0.999467						0.500000	5.000000	0.126386
YDR171W_mRNA	YGL073W_mRNA	0.999464						0.166667	5.000000	0.133273
YOR285W_mRNA	YDR423C_mRNA	0.999464						0.200000	5.000000	0.136473
YMR304C-A_mRNA,YMR305C_mRNA	YHR206W_mRNA	0.999464						0.666667	5.000000	0.122312
YGR209C_mRNA	YOL028C_mRNA	0.999460						0.090909	5.000000	0.131722
YJL191W_mRNA	YPL038W_mRNA	0.999455						0.500000	5.000000	0.125550
YKL096W_mRNA	YBR182C_mRNA	0.999448						0.166667	5.000000	0.142707
YGR248W_mRNA	YGR249W_mRNA	0.999445						0.333333	5.000000	0.129556
YGR233C_mRNA	YKL043W_mRNA	0.999444						1.000000	5.000000	0.133262
YPL230W_mRNA	YDR043C_mRNA	0.999443						0.500000	5.000000	0.131394
YLR266C_mRNA	YBL103C_mRNA	0.999443						0.500000	5.000000	0.122400
YLR034C_mRNA	YPL202C_mRNA	0.999441						0.500000	5.000000	0.123123
YJL161W_mRNA	YDL106C_mRNA	0.999437						0.333333	5.000000	0.139483
YHR091C_mRNA	YLR013W_mRNA	0.999434						0.500000	5.000000	0.114443
YOR128C_mRNA	YDL106C_mRNA	0.999431						0.500000	5.000000	0.131155
YCL050C_mRNA	YGL073W_mRNA	0.999426						0.250000	5.000000	0.130696
YER147C_mRNA	YPL038W_mRNA	0.999425						1.000000	5.000000	0.124751
YDL165W_mRNA	YDR451C_mRNA	0.999424						0.500000	5.000000	0.127121
YBR068C_mRNA	YLR403W_mRNA	0.999423						0.500000	5.000000	0.231949
YER183C_mRNA	YBR240C_mRNA	0.999415						0.500000	5.000000	0.129421
YDR287W_mRNA	YIR018W_mRNA	0.999413						0.500000	5.000000	0.118388
YBR230C_mRNA	YMR280C_mRNA	0.999413						0.142857	5.000000	0.124092
YBR145W_mRNA	YNL199C_mRNA	0.999413						0.500000	5.000000	0.126668
YIL162W_mRNA	YMR037C_mRNA	0.999409						0.500000	5.000000	0.241258
YPR158W_mRNA	YGL073W_mRNA	0.999409						0.250000	5.000000	0.122344
YLR199C_mRNA	YHR178W_mRNA	0.999407						1.000000	5.000000	0.126189
YNL078W_mRNA	YLR131C_mRNA	0.999404						0.500000	5.000000	0.115651
YPR154W_mRNA	YGL073W_mRNA	0.999402	1.000000	1.000000	0.012403	0.110561	0.024502	0.000000	5.000000	0.121489
YOL147C_mRNA	YDR216W_mRNA	0.999402						0.500000	5.000000	0.120402
YOR010C_mRNA	YML027W_mRNA	0.999401						1.000000	5.000000	0.116465
YDL179W_mRNA	YDR146C_mRNA	0.999395						0.500000	5.000000	0.122750
YGL237C_mRNA,YNL143C_mRNA	YLR183C_mRNA	0.999389						0.000000	5.000000	0.147788
YBR072W_mRNA	YJL056C_mRNA	0.999383						0.125000	5.000000	0.118481
YNL009W_mRNA	YAL051W_mRNA	0.999381						1.000000	5.000000	0.118478
YNL327W_mRNA	YDR146C_mRNA	0.999381						0.333333	5.000000	0.110973
YDR063W_mRNA	YPL177C_mRNA	0.999374						0.333333	5.000000	0.117190
YBL078C_mRNA	YDR207C_mRNA	0.999371						0.333333	5.000000	0.115489
YLR134W_mRNA	YDR081C_mRNA	0.999371						1.000000	5.000000	0.120557
YOR293W_mRNA	YLR223C_mRNA	0.999369						0.090909	5.000000	0.110485
YBR244W_mRNA	YBL021C_mRNA	0.999369						0.333333	5.000000	0.124276
YPL171C_mRNA	YCR065W_mRNA	0.999369						1.000000	5.000000	0.119907
YBL064C_mRNA	YKL015W_mRNA	0.999368						0.200000	5.000000	0.115317
YDL052C_mRNA	YIR033W_mRNA	0.999367						0.333333	5.000000	0.124637
YMR108W_mRNA	YLR451W_mRNA	0.999362						0.333333	5.000000	0.130660
YOR298C-A_mRNA	YGL073W_mRNA	0.999357	0.000000	0.888889	0.012403	0.104045	0.024465	0.000000	5.000000	0.115458
YDR441C_mRNA	YGL035C_mRNA	0.999351						0.500000	5.000000	0.111980
YDR343C_mRNA	YDR216W_mRNA	0.999350						0.500000	5.000000	0.117131
YIL046W_mRNA	YIR017C_mRNA	0.999347						0.500000	5.000000	0.119547
YPL111W_mRNA	YMR042W_mRNA	0.999346						0.166667	5.000000	0.121143
YOR327C_mRNA	YNL027W_mRNA	0.999333						0.500000	5.000000	0.108367
YMR040W_mRNA	YLR176C_mRNA	0.999331						0.500000	5.000000	0.104717
YDL084W_mRNA	YPL075W_mRNA	0.999329						0.250000	5.000000	0.111150
YHR088W_mRNA	YHL027W_mRNA	0.999329						1.000000	5.000000	0.114904
YMR194W_mRNA	YDR421W_mRNA	0.999328						0.200000	5.000000	0.109868
YGR295C_mRNA	YIL101C_mRNA	0.999325						1.000000	5.000000	0.108980
YLR034C_mRNA	YPR065W_mRNA	0.999318						0.500000	5.000000	0.107707
YBR145W_mRNA	YOR344C_mRNA	0.999318						0.500000	5.000000	0.103096
YPL158C_mRNA	YDR146C_mRNA	0.999317						0.500000	5.000000	0.106085
YML116W_mRNA	YKL043W_mRNA	0.999315						1.000000	5.000000	0.106363
YEL020C_mRNA	YMR019W_mRNA	0.999310						1.000000	5.000000	0.112175
YGR248W_mRNA	YCR084C_mRNA	0.999310						0.333333	5.000000	0.107336
YDR368W_mRNA	YNL167C_mRNA	0.999309						0.500000	5.000000	0.114915
