target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
YPL092W	YGL254W	0.999985						1.000000	5.000000	1.000000
YBR065C	YNL167C	0.999985						1.000000	5.000000	1.000000
YBR065C	YJL206C	0.999985						1.000000	5.000000	1.000000
YCL063W	YIL131C	0.999985						1.000000	5.000000	1.000000
YPL092W	YHR124W	0.999985						1.000000	5.000000	1.000000
YPL092W	YEL009C	0.999985						1.000000	5.000000	1.000000
YCL063W	YLR098C	0.999985						1.000000	5.000000	1.000000
YPL092W	YIL131C	0.999985						1.000000	5.000000	1.000000
YLR360W	YOR230W	0.999982						1.000000	5.000000	1.000000
YLR360W	YGL013C	0.999976						1.000000	5.000000	1.000000
YPR157W	YPR008W	0.999971						1.000000	5.000000	0.988162
YJR044C	YPR199C	0.999965						1.000000	5.000000	0.889070
YIL162W	YGL209W	0.999963						1.000000	5.000000	0.875055
YNR001C	YGL252C	0.999963						1.000000	5.000000	0.840870
YPR157W	YIL131C	0.999961						1.000000	5.000000	0.828679
YDR101C	YPL128C	0.999961						1.000000	5.000000	0.806837
YMR202W	YDR213W	0.999958						1.000000	5.000000	0.803309
YHR128W	YDR520C	0.999956						1.000000	5.000000	0.779959
YDR174W	YJL089W	0.999954						1.000000	5.000000	0.763206
YKL216W	YLR014C	0.999951						1.000000	5.000000	0.747094
YCR005C	YDR213W	0.999948						1.000000	5.000000	0.709467
YFL021W	YJL110C	0.999947						1.000000	5.000000	0.702372
YNR044W	YCL055W	0.999946						1.000000	5.000000	0.697419
YPR173C	YHL009C	0.999945						1.000000	5.000000	0.685559
YER025W	YMR042W	0.999945						1.000000	5.000000	0.678429
YDR345C	YKL038W	0.999940						1.000000	5.000000	0.680271
YJR139C	YOR032C	0.999939						1.000000	5.000000	0.632539
YDR154C	YER169W	0.999938						1.000000	5.000000	0.615048
YNL327W	YDR146C	0.999933						1.000000	5.000000	0.588539
YDR084C	YML099C	0.999932						1.000000	5.000000	0.593518
YKL096W	YBR182C	0.999930						1.000000	5.000000	0.614895
YBR222C	YMR019W	0.999929						1.000000	5.000000	0.595682
YKL164C	YDR146C	0.999925						1.000000	5.000000	0.574942
YJL190C	YLR223C	0.999919						1.000000	5.000000	0.544933
YDL022W	YMR172W	0.999916						1.000000	5.000000	0.543651
YJL148W	YGR044C	0.999916						1.000000	5.000000	0.535524
YDR515W	YJR127C	0.999915						1.000000	5.000000	0.558494
YDL022W	YOL116W	0.999912						1.000000	5.000000	0.508069
YER062C	YMR172W	0.999910						1.000000	5.000000	0.514560
YJL178C	YLR013W	0.999908						1.000000	5.000000	0.535176
YHR174W	YJL056C	0.999906						1.000000	5.000000	0.513821
YGR172C	YPL248C	0.999901						1.000000	5.000000	0.505492
YBR208C	YKR034W	0.999900						1.000000	5.000000	0.492472
YNL312W	YDL170W	0.999896						1.000000	5.000000	0.497057
YGL253W	YGL035C	0.999896						1.000000	5.000000	0.466580
YGL062W	YOL067C	0.999892						1.000000	5.000000	0.479479
YGL253W	YKL038W	0.999890						1.000000	5.000000	0.467282
YML085C	YCR065W	0.999888						1.000000	5.000000	0.476410
YGL055W	YMR164C	0.999886						1.000000	5.000000	0.490548
YHL048W	YMR182C	0.999885						1.000000	5.000000	0.446139
YNL300W	YKL185W	0.999885						1.000000	5.000000	0.473123
YCR005C	YOL067C	0.999877						1.000000	5.000000	0.478806
YLR375W	YMR182C	0.999876						1.000000	5.000000	0.449174
YGL077C	YMR021C	0.999875						1.000000	5.000000	0.455679
YNR001C	YBL103C	0.999870						1.000000	5.000000	0.435585
YJL034W	YFL031W	0.999864						1.000000	5.000000	0.417586
YGR234W	YOL089C	0.999864						1.000000	5.000000	0.418797
YMR186W	YDR259C	0.999862						1.000000	5.000000	0.413046
YHR174W	YPL075W	0.999858						1.000000	5.000000	0.394887
YDL184C	YDR421W	0.999858						1.000000	5.000000	0.419617
YDR377W	YKL109W	0.999852						1.000000	5.000000	0.414405
YIR034C	YDR463W	0.999851						1.000000	5.000000	0.425303
YLR420W	YLR014C	0.999848						1.000000	5.000000	0.415149
YOR136W	YDR043C	0.999847						1.000000	5.000000	0.412980
YMR202W	YMR070W	0.999844						1.000000	5.000000	0.403579
YKL182W	YHL020C	0.999844						1.000000	5.000000	0.402903
YDR225W	YER111C	0.999844						1.000000	5.000000	0.387880
YNL036W	YMR070W	0.999836						1.000000	5.000000	0.381120
YGR157W	YHL020C	0.999833						1.000000	5.000000	0.379292
YER025W	YBR049C	0.999830						1.000000	5.000000	0.415568
YDR377W	YDR421W	0.999826						1.000000	5.000000	0.383320
YCL043C	YFL031W	0.999825						1.000000	5.000000	0.372443
YMR202W	YCR065W	0.999824						1.000000	5.000000	0.362967
YGR172C	YBR049C	0.999815						1.000000	5.000000	0.381945
YGR209C	YOL028C	0.999812						1.000000	5.000000	0.376426
YOR136W	YBL103C	0.999805						1.000000	5.000000	0.378924
YJL106W	YJR094C	0.999804						1.000000	5.000000	0.425407
YKR039W	YDR259C	0.999803						1.000000	5.000000	0.362500
YHR018C	YEL009C	0.999799	1.000000	1.000000	0.001456	0.037883	0.002907	0.000000	5.000000	0.367678
YDL004W	YKL109W	0.999799						1.000000	5.000000	0.382789
YIR032C	YKR034W	0.999798						1.000000	5.000000	0.373250
YDL131W	YEL009C	0.999795						1.000000	5.000000	0.350809
YLR304C	YBL103C	0.999792						1.000000	5.000000	0.361096
YCR012W	YPL075W	0.999789						1.000000	5.000000	0.358926
YBL042C	YOL116W	0.999786						1.000000	5.000000	0.394936
YNR067C	YDR146C	0.999781	0.000000	0.500000	0.001456	0.026404	0.002903	0.000000	5.000000	0.334364
YHR064C	YBL005W	0.999780						1.000000	5.000000	0.369536
YBR092C	YDR081C	0.999778						1.000000	5.000000	0.317870
YHR094C	YKL038W	0.999773						1.000000	5.000000	0.353484
YFR041C	YMR019W	0.999756						1.000000	5.000000	0.311474
YEL071W	YBL103C	0.999748						1.000000	5.000000	0.304086
YDR055W	YDR146C	0.999747	1.000000	0.666667	0.002911	0.043431	0.005797	0.000000	5.000000	0.328619
YJR009C	YNL199C	0.999746						1.000000	5.000000	0.313177
YDL075W	YOR032C	0.999746						1.000000	5.000000	0.357633
YDR224C	YER111C	0.999744						1.000000	5.000000	0.309228
YHR208W	YLR451W	0.999743						1.000000	5.000000	0.303672
YKL216W	YBL103C	0.999742						1.000000	5.000000	0.330168
YGL226W	YHL009C	0.999740						1.000000	5.000000	0.322096
YOR293W	YLR223C	0.999734						1.000000	5.000000	0.355899
YFR017C	YER028C	0.999732						1.000000	5.000000	0.351881
YLR372W	YIR033W	0.999728						1.000000	5.000000	0.308338
YPL231W	YHL020C	0.999726						1.000000	5.000000	0.305049
YER091C	YNL103W	0.999726						1.000000	5.000000	0.299081
YOR206W	YMR042W	0.999723						1.000000	5.000000	0.318762
YHR051W	YBL021C	0.999723						1.000000	5.000000	0.302287
YDL179W	YDR146C	0.999721						1.000000	5.000000	0.291733
YHR162W	YEL009C	0.999720						1.000000	5.000000	0.310087
YML008C	YMR070W	0.999715						1.000000	5.000000	0.295001
YGR254W	YPL075W	0.999711						1.000000	5.000000	0.299275
YDL055C	YDL056W	0.999709						1.000000	5.000000	0.324203
YKL197C	YJR127C	0.999702						1.000000	5.000000	0.304881
YGL055W	YIR033W	0.999700						1.000000	5.000000	0.282796
YDL182W	YEL009C	0.999699	1.000000	0.750000	0.004367	0.056555	0.008683	0.000000	5.000000	0.293286
YPL028W	YDR451C	0.999698						1.000000	5.000000	0.292100
YHR026W	YBR049C	0.999697						1.000000	5.000000	0.287375
YKL007W	YMR164C	0.999692						1.000000	5.000000	0.281230
YJR044C	YIR018W	0.999689						1.000000	5.000000	0.292908
YBR137W	YDR520C	0.999688						1.000000	5.000000	0.282811
YDR064W	YLR223C	0.999688						1.000000	5.000000	0.285149
YDL192W	YNL216W	0.999685						1.000000	5.000000	0.279097
YHR183W	YDR310C	0.999685						1.000000	5.000000	0.293586
YGR182C	YNL314W	0.999684						1.000000	5.000000	0.279209
YIR028W	YIR023W	0.999681						1.000000	5.000000	0.303885
YBR249C	YEL009C	0.999669	1.000000	0.800000	0.005822	0.067527	0.011561	0.000000	5.000000	0.300733
YDR155C	YER169W	0.999668						0.000000	5.000000	0.278148
YDR298C	YKL109W	0.999667						1.000000	5.000000	0.298150
YDL184C	YLR223C	0.999666						1.000000	5.000000	0.282370
YGR175C	YIR033W	0.999666						1.000000	5.000000	0.267957
YPL135W	YPL202C	0.999655						1.000000	5.000000	0.267839
YGR189C	YDR146C	0.999650	1.000000	0.833333	0.007278	0.077111	0.014430	0.000000	5.000000	0.273851
YEL024W	YKL109W	0.999645						1.000000	5.000000	0.273908
YKL152C	YPL075W	0.999643	1.000000	0.857143	0.008734	0.085710	0.017291	0.000000	5.000000	0.253361
YMR242C	YLR223C	0.999641						1.000000	5.000000	0.278631
YOR226C	YLR451W	0.999641						1.000000	5.000000	0.255955
YML063W	YLR223C	0.999640						1.000000	5.000000	0.297152
YER072W	YFR034C	0.999639						1.000000	5.000000	0.269766
YJR121W	YPL133C	0.999638						1.000000	5.000000	0.265980
YJL159W	YDR146C	0.999637	0.000000	0.750000	0.008734	0.079984	0.017266	0.000000	5.000000	0.265811
YCL018W	YLR451W	0.999636						1.000000	5.000000	0.255200
YER100W	YGL096W	0.999630						1.000000	5.000000	0.264289
YGL009C	YLR451W	0.999628						1.000000	5.000000	0.293907
YGL055W	YPL202C	0.999627						1.000000	5.000000	0.261059
YGL030W	YLR223C	0.999619						1.000000	5.000000	0.271392
YOL127W	YLR223C	0.999619						1.000000	5.000000	0.271107
YLR342W	YPL089C	0.999616						1.000000	5.000000	0.274130
YJR077C	YOR358W	0.999611						1.000000	5.000000	0.264349
YMR122W.A	YDR146C	0.999609						0.000000	5.000000	0.257346
YDR033W	YMR043W	0.999607						1.000000	5.000000	0.276667
YGR282C	YKL112W	0.999604						1.000000	5.000000	0.249675
YLR354C	YHR178W	0.999598						1.000000	5.000000	0.288241
YKR006C	YBR297W	0.999596						1.000000	5.000000	0.256239
YBL002W	YNL216W	0.999594						1.000000	5.000000	0.255192
YBR039W	YOR358W	0.999593						1.000000	5.000000	0.240828
YEL040W	YPL089C	0.999587						1.000000	5.000000	0.246858
YBR294W	YDR451C	0.999587						1.000000	5.000000	0.243953
YHR070W	YEL009C	0.999584						1.000000	5.000000	0.273798
YDR154C	YGL073W	0.999583						1.000000	5.000000	0.235585
YHR094C	YLR176C	0.999583						1.000000	5.000000	0.244055
YJR007W	YBL005W	0.999581						1.000000	5.000000	0.240889
YDL075W	YPL177C	0.999578						1.000000	5.000000	0.243615
YGL202W	YEL009C	0.999575						1.000000	5.000000	0.271153
YLR293C	YLR223C	0.999573						0.000000	5.000000	0.245366
YGR027C	YLR223C	0.999571						0.000000	5.000000	0.438070
YBL002W	YGR249W	0.999569						1.000000	5.000000	0.244886
YER072W	YJR060W	0.999569						1.000000	5.000000	0.250700
YBR121C	YLR403W	0.999565						1.000000	5.000000	0.247338
YBR071W	YKL185W	0.999548						1.000000	5.000000	0.250209
YIR029W	YIR023W	0.999545						1.000000	5.000000	0.237271
YPR145W	YEL009C	0.999545	1.000000	0.777778	0.010189	0.088039	0.020115	0.000000	5.000000	0.227975
YNR001C	YKL109W	0.999543						1.000000	5.000000	0.232801
YGL012W	YLR228C	0.999539						1.000000	5.000000	0.250115
YDL083C	YIR018W	0.999538						1.000000	5.000000	0.244029
YBR208C	YIR023W	0.999533						1.000000	5.000000	0.230821
YLR441C	YLR223C	0.999531						1.000000	5.000000	0.250148
YGL187C	YKL109W	0.999520						1.000000	5.000000	0.223233
YOR198C	YIR018W	0.999517						1.000000	5.000000	0.230445
YIL052C	YLR223C	0.999517						1.000000	5.000000	0.233469
YNR044W	YMR043W	0.999514						1.000000	5.000000	0.253028
YMR202W	YLR228C	0.999510						1.000000	5.000000	0.217611
YOR289W	YHR006W	0.999508						1.000000	5.000000	0.232384
YLR142W	YKL015W	0.999505						1.000000	5.000000	0.238553
YLR229C	YKL112W	0.999505						1.000000	5.000000	0.224249
YPR141C	YCL055W	0.999504						1.000000	5.000000	0.240767
YDR447C	YLR403W	0.999502						1.000000	5.000000	0.230139
YDR155C	YPR065W	0.999501						1.000000	5.000000	0.227330
YHR174W	YNL199C	0.999496						1.000000	5.000000	0.220688
YBL003C	YER111C	0.999495						1.000000	5.000000	0.215399
YOL055C	YDR081C	0.999494						1.000000	5.000000	0.206392
YPR036W	YDR451C	0.999493						1.000000	5.000000	0.235795
YLR110C	YNL216W	0.999487						1.000000	5.000000	0.243504
YHR051W	YBL103C	0.999477						1.000000	5.000000	0.217814
YJL106W	YHR124W	0.999473						1.000000	5.000000	0.257008
YDL075W	YLR223C	0.999471						1.000000	5.000000	0.211645
YGL028C	YDR146C	0.999470	0.000000	0.700000	0.010189	0.083351	0.020086	0.000000	5.000000	0.219030
YHR021C	YLR223C	0.999453						1.000000	5.000000	0.208006
YPR149W	YDR216W	0.999450						1.000000	5.000000	0.210561
YBR109C	YIL036W	0.999450						1.000000	5.000000	0.208085
YNL030W	YER111C	0.999448						1.000000	5.000000	0.246662
YPL131W	YDL106C	0.999446						1.000000	5.000000	0.217599
YDR033W	YIL131C	0.999446						1.000000	5.000000	0.241852
YOR276W	YBR049C	0.999444						1.000000	5.000000	0.195772
YNL190W	YMR043W	0.999444						1.000000	5.000000	0.249065
YDR232W	YBL021C	0.999440						1.000000	5.000000	0.229044
YLR056W	YPL133C	0.999435						1.000000	5.000000	0.209472
YKL120W	YDR423C	0.999432						1.000000	5.000000	0.220988
YNL031C	YIR017C	0.999432						1.000000	5.000000	0.205258
YNL135C	YNL314W	0.999427						1.000000	5.000000	0.215076
YOL086C	YPL075W	0.999421						1.000000	5.000000	0.224813
YMR143W	YLR223C	0.999421						1.000000	5.000000	0.184820
YML024W	YLR223C	0.999417						0.000000	5.000000	0.202950
YJR121W	YKL109W	0.999416						1.000000	5.000000	0.266359
YDR025W	YLR403W	0.999408						1.000000	5.000000	0.535473
YGL077C	YOL108C	0.999406						1.000000	5.000000	0.197364
YNR044W	YER111C	0.999405						1.000000	5.000000	0.249028
YBR191W	YLR223C	0.999404						1.000000	5.000000	0.211573
YKR042W	YPL133C	0.999402						1.000000	5.000000	0.198785
YNR001C	YBL021C	0.999401						1.000000	5.000000	0.207490
YER102W	YLR403W	0.999395						1.000000	5.000000	0.217405
YOR230W	YLR131C	0.999385						1.000000	5.000000	0.211494
YBR011C	YIR017C	0.999382						1.000000	5.000000	0.199236
YGL135W	YLR403W	0.999379						1.000000	5.000000	0.259137
YPL057C	YIR033W	0.999377						1.000000	5.000000	0.198067
YJL217W	YMR021C	0.999372						1.000000	5.000000	0.203224
YKL080W	YOR344C	0.999371						1.000000	5.000000	0.284509
YOR096W	YLR223C	0.999365						0.000000	5.000000	0.206135
YOL086C	YNL199C	0.999361						1.000000	5.000000	0.206675
YPL037C	YNL216W	0.999357						1.000000	5.000000	0.224239
YBR158W	YDR146C	0.999356						1.000000	5.000000	0.199716
YKL120W	YLR451W	0.999354						1.000000	5.000000	0.215546
YGR034W	YLR223C	0.999351						0.000000	5.000000	0.195458
YGL062W	YNL199C	0.999340						1.000000	5.000000	0.206347
YKL001C	YNL103W	0.999339						1.000000	5.000000	0.193704
YBL002W	YDL056W	0.999334						1.000000	5.000000	0.198875
YJL106W	YIR018W	0.999334						1.000000	5.000000	0.261612
YKL164C	YKL043W	0.999334						1.000000	5.000000	0.178599
YNL055C	YKL109W	0.999331						1.000000	5.000000	0.210112
YOR226C	YDR043C	0.999328						1.000000	5.000000	0.205257
YLR134W	YDR081C	0.999327						1.000000	5.000000	0.180893
YER183C	YBR240C	0.999326						1.000000	5.000000	0.192651
YJR139C	YNL216W	0.999323						1.000000	5.000000	0.193707
YBL042C	YIR023W	0.999321						1.000000	5.000000	0.188394
YIL133C	YIR018W	0.999320						1.000000	5.000000	0.194557
YMR202W	YOL067C	0.999313						0.000000	-5.000000	0.221825
YLR395C	YKL109W	0.999312						1.000000	5.000000	0.195553
YCR053W	YEL009C	0.999312						1.000000	5.000000	0.223199
YHR140W	YGR044C	0.999311						1.000000	5.000000	0.194036
YDL048C	YER169W	0.999308						1.000000	5.000000	0.185938
YNL031C	YML027W	0.999308						1.000000	5.000000	0.200445
YAL012W	YOL028C	0.999304						1.000000	5.000000	0.197574
YCR024C.B	YDR146C	0.999298						0.000000	-5.000000	0.186246
YEL034W	YIL036W	0.999298						1.000000	5.000000	0.179877
YLR058C	YKR099W	0.999297						1.000000	5.000000	0.183913
YHL037C	YPR015C	0.999295						0.000000	5.000000	0.182050
YLR216C	YGL073W	0.999290						1.000000	5.000000	0.197232
YKR039W	YIR023W	0.999284						1.000000	5.000000	0.192050
YDR050C	YPL075W	0.999284	1.000000	0.727273	0.011645	0.090896	0.022923	0.000000	5.000000	0.206273
YJL148W	YPL089C	0.999276						1.000000	5.000000	0.183118
YOR303W	YEL009C	0.999273	1.000000	0.750000	0.013100	0.097964	0.025751	0.000000	5.000000	0.197800
YOR052C	YKL185W	0.999271						1.000000	5.000000	0.196792
YKL006W	YNL314W	0.999267						1.000000	5.000000	0.186968
YDR262W	YDR259C	0.999266						1.000000	5.000000	0.188999
YMR146C	YNL216W	0.999256						1.000000	5.000000	0.215104
YJR152W	YER040W	0.999253						1.000000	5.000000	0.183852
YBL072C	YLR223C	0.999252						1.000000	5.000000	0.175800
YCR107W	YCR106W	0.999251						1.000000	5.000000	0.378690
YDR226W	YOR162C	0.999249						1.000000	5.000000	0.257272
YGL031C	YLR223C	0.999243						1.000000	5.000000	0.292294
YHR091C	YLR013W	0.999242						1.000000	5.000000	0.179352
YBR067C	YPL133C	0.999242						1.000000	5.000000	0.192287
YDL022W	YIL131C	0.999233						1.000000	5.000000	0.169207
YHR141C	YNL314W	0.999233						1.000000	5.000000	0.178795
YDL022W	YNL167C	0.999233						1.000000	5.000000	0.174354
YHR071W	YEL009C	0.999232						1.000000	5.000000	0.171966
YBR230C	YMR280C	0.999231						1.000000	5.000000	0.184432
YNL327W	YLR131C	0.999229						1.000000	5.000000	0.173595
YKR024C	YPL128C	0.999224						1.000000	5.000000	0.184052
YKL085W	YNL216W	0.999204						1.000000	5.000000	0.235352
YDR023W	YJR060W	0.999201						1.000000	5.000000	0.211096
YJR145C	YIL036W	0.999201						1.000000	5.000000	0.178387
YAL005C	YGL073W	0.999196						1.000000	5.000000	0.191374
YGL012W	YPL075W	0.999192						1.000000	5.000000	0.202894
YML123C	YFR034C	0.999191	0.000000	0.692308	0.013100	0.093971	0.025714	0.000000	5.000000	0.183867
YKL185W	YDR146C	0.999191						0.000000	5.000000	0.174135
YJL190C	YIR018W	0.999189						1.000000	5.000000	0.163480
YDL229W	YOR344C	0.999187						1.000000	5.000000	0.171966
YML058W	YIL131C	0.999180						1.000000	5.000000	0.183121
YBL002W	YER111C	0.999176						0.000000	5.000000	0.179532
YHR183W	YHR178W	0.999172						1.000000	5.000000	0.161184
YKL120W	YER169W	0.999168						1.000000	5.000000	0.174262
YNL016W	YIR017C	0.999168						1.000000	5.000000	0.180931
YGL225W	YIR033W	0.999166						1.000000	5.000000	0.171890
YHR175W	YMR021C	0.999163						1.000000	5.000000	0.171460
YKL096W.A	YLR131C	0.999163						0.000000	-5.000000	0.172135
YHR163W	YHR178W	0.999162						1.000000	5.000000	0.186988
YIR034C	YEL009C	0.999154						1.000000	5.000000	0.169786
YOR226C	YOL028C	0.999150						1.000000	5.000000	0.176766
YNL074C	YPL248C	0.999149						1.000000	5.000000	0.172440
YNL255C	YKL112W	0.999149						1.000000	5.000000	0.182924
YDR418W	YPL075W	0.999140						1.000000	5.000000	0.212175
YKL175W	YJL056C	0.999140						1.000000	5.000000	0.169553
YCL030C	YDL106C	0.999139						1.000000	5.000000	0.162989
YHR157W	YDR009W	0.999137						0.000000	5.000000	0.238670
YJR009C	YOR344C	0.999135						1.000000	5.000000	0.166911
YBR039W	YKL109W	0.999132						1.000000	5.000000	0.158781
YGL077C	YPL177C	0.999131						1.000000	5.000000	0.190389
YBR287W	YJR060W	0.999129						1.000000	5.000000	0.162276
YKL096W.A	YDR146C	0.999128						0.000000	-5.000000	0.170135
YGR295C	YJL056C	0.999125						1.000000	5.000000	0.167956
YNL046W	YDR146C	0.999123						0.000000	5.000000	0.167268
YOL040C	YLR223C	0.999114						0.000000	5.000000	0.191407
YKL077W	YBL005W	0.999110						1.000000	5.000000	0.177198
YDR174W	YER184C	0.999106						0.000000	-5.000000	0.160878
YBR127C	YOR363C	0.999104						1.000000	5.000000	0.177428
YLR304C	YIR023W	0.999102						1.000000	5.000000	0.176628
YLR194C	YDR146C	0.999100	0.000000	0.642857	0.013100	0.090409	0.025678	0.000000	5.000000	0.171506
YJL172W	YER040W	0.999093						1.000000	5.000000	0.155376
YBL003C	YDL056W	0.999085						1.000000	5.000000	0.155543
YOR072W.A	YBR066C	0.999084						0.000000	5.000000	0.141992
YDR158W	YEL009C	0.999082						1.000000	5.000000	0.155948
YER065C	YER184C	0.999079						1.000000	5.000000	0.167062
YER150W	YGL073W	0.999073						1.000000	5.000000	0.215837
YOR226C	YPL202C	0.999072						1.000000	5.000000	0.166149
YMR058W	YPL202C	0.999066						1.000000	5.000000	0.156375
YNL250W	YCL058C	0.999064						0.000000	5.000000	0.180011
YNL162W	YLR223C	0.999063						1.000000	5.000000	0.180739
YKL060C	YPL075W	0.999063	0.000000	0.600000	0.013100	0.087204	0.025641	0.000000	5.000000	0.150914
YPL135W	YIL036W	0.999062						1.000000	5.000000	0.221239
YIR028W	YER040W	0.999060						1.000000	5.000000	0.163346
YDR378C	YDR421W	0.999059						1.000000	5.000000	0.153098
YML106W	YHR124W	0.999055						1.000000	5.000000	0.169077
YLL050C	YNL216W	0.999052						1.000000	5.000000	0.182561
YHR051W	YOR358W	0.999049						1.000000	5.000000	0.168819
YNR050C	YPL038W	0.999049						1.000000	5.000000	0.156807
YCR024C.B	YMR043W	0.999030						0.000000	5.000000	0.163341
YPL122C	YDL170W	0.999024						1.000000	5.000000	0.147671
YJR065C	YBR049C	0.999023						1.000000	5.000000	0.145415
YDL061C	YLR223C	0.999019						1.000000	5.000000	0.128577
YBL030C	YKL109W	0.999018	0.000000	0.562500	0.013100	0.084301	0.025605	0.000000	5.000000	0.184415
YLR220W	YIR018W	0.999011						1.000000	5.000000	0.164978
YER120W	YNL216W	0.999010						1.000000	5.000000	0.166802
YGL037C	YGL073W	0.999009						1.000000	5.000000	0.149421
YGL101W	YOR032C	0.999008						1.000000	5.000000	0.158441
YOR248W	YER111C	0.999007						1.000000	5.000000	0.151716
YBR166C	YKR034W	0.999004						1.000000	5.000000	0.158026
YJL191W	YLR223C	0.998990						1.000000	5.000000	0.150140
YKL164C	YLR131C	0.998989						1.000000	5.000000	0.194379
YJL164C	YMR280C	0.998989						1.000000	5.000000	0.157386
YCR005C	YCR065W	0.998985						0.000000	-5.000000	0.150503
YLR056W	YLR228C	0.998981						1.000000	5.000000	0.156048
YJR123W	YOR162C	0.998979						1.000000	5.000000	0.165555
YJR121W	YGL237C	0.998976						1.000000	5.000000	0.163810
YJR152W	YFL021W	0.998975						1.000000	5.000000	0.145229
YGL054C	YMR037C	0.998970						1.000000	5.000000	0.152112
YGR254W	YDR146C	0.998968						1.000000	5.000000	0.157032
YHL016C	YER040W	0.998967						1.000000	5.000000	0.140193
YEL026W	YBR049C	0.998962						1.000000	5.000000	0.283600
YPL122C	YJL089W	0.998958						1.000000	5.000000	0.159730
YOR206W	YGL237C	0.998956						1.000000	5.000000	0.141703
YBR162C	YMR037C	0.998956						1.000000	5.000000	0.146198
YNL135C	YIR018W	0.998952						1.000000	5.000000	0.172902
YKR057W	YOR344C	0.998950						1.000000	5.000000	0.158906
YCR107W	YER169W	0.998941						1.000000	5.000000	0.325820
YJR123W	YLR223C	0.998939						1.000000	5.000000	0.146215
YOL139C	YHR124W	0.998936						1.000000	5.000000	0.146914
YER124C	YDR146C	0.998935						1.000000	5.000000	0.148480
YGL026C	YEL009C	0.998935						1.000000	5.000000	0.217379
YER103W	YGL073W	0.998932						1.000000	5.000000	0.144959
YDL067C	YGL237C	0.998930						1.000000	5.000000	0.185947
YOR136W	YMR037C	0.998929						1.000000	5.000000	0.139882
YKL008C	YIR033W	0.998926						1.000000	5.000000	0.152933
YNL055C	YHR178W	0.998914						1.000000	5.000000	0.188922
YDR372C	YLR176C	0.998910						1.000000	5.000000	0.143843
YBR129C	YGL096W	0.998910						1.000000	5.000000	0.142955
YBR071W	YDR146C	0.998906						0.000000	5.000000	0.141346
YPL240C	YDR310C	0.998904						1.000000	5.000000	0.128280
YBR009C	YER111C	0.998891						0.000000	5.000000	0.150941
YOL092W	YHR124W	0.998891						1.000000	5.000000	0.174994
YDR342C	YNL027W	0.998875						1.000000	5.000000	0.160385
YLR061W	YGL071W	0.998872						1.000000	5.000000	0.149895
YER150W	YKL062W	0.998871						1.000000	5.000000	0.150586
YJR025C	YEL009C	0.998870						1.000000	5.000000	0.151239
YFR041C	YFL031W	0.998863						1.000000	5.000000	0.146810
YJL052W	YOL028C	0.998861						1.000000	5.000000	0.140594
YFR050C	YDL020C	0.998857						1.000000	5.000000	0.140806
YOR099W	YJR060W	0.998856						1.000000	5.000000	0.137005
YIL118W	YDR423C	0.998853						1.000000	5.000000	0.133173
YJL171C	YMR037C	0.998853						1.000000	5.000000	0.162397
YEL033W	YNL216W	0.998852						0.000000	5.000000	0.156931
YDR224C	YMR037C	0.998851						1.000000	5.000000	0.149236
YHR193C	YHR124W	0.998850						1.000000	5.000000	0.154536
YGL191W	YKL109W	0.998850						1.000000	5.000000	0.151705
YBR031W	YLR403W	0.998835						1.000000	5.000000	0.135699
YBR118W	YOR162C	0.998831						1.000000	5.000000	0.159065
YML058W	YDR146C	0.998831						0.000000	-5.000000	0.136284
YJL164C	YGL035C	0.998827						1.000000	5.000000	0.137282
YGR118W	YLR223C	0.998827						0.000000	5.000000	0.122969
YJL174W	YKL112W	0.998817						1.000000	5.000000	0.137656
YNL031C	YDL056W	0.998817						1.000000	5.000000	0.144106
YMR318C	YHR178W	0.998809						1.000000	5.000000	0.132596
YOR226C	YKL043W	0.998807						1.000000	5.000000	0.143471
YBL099W	YKL109W	0.998802						1.000000	5.000000	0.137751
YOL077C	YNL314W	0.998801						1.000000	5.000000	0.135228
YKL009W	YOR344C	0.998801						1.000000	5.000000	0.139192
YKL009W	YPL177C	0.998799						1.000000	5.000000	0.133237
YNL312W	YOL108C	0.998797						1.000000	5.000000	0.134611
YJR139C	YJR060W	0.998797						1.000000	5.000000	0.134088
YNL142W	YFL021W	0.998797						1.000000	5.000000	0.137631
YMR186W	YGL073W	0.998790						1.000000	5.000000	0.143272
YGR279C	YDR146C	0.998784	0.000000	0.529412	0.013100	0.081653	0.025568	0.000000	-5.000000	0.128737
YMR088C	YER040W	0.998781						1.000000	5.000000	0.130482
YMR297W	FLO8	0.998779						1.000000	5.000000	0.150962
YDR418W	YLR223C	0.998774						1.000000	5.000000	0.169332
YJL012C	YFR034C	0.998769						1.000000	5.000000	0.128986
YBR010W	YER111C	0.998768						0.000000	5.000000	0.144247
YPL154C	YIL131C	0.998758						1.000000	5.000000	0.134148
YPL019C	YFR034C	0.998753						1.000000	5.000000	0.147514
YNL030W	YNL103W	0.998751						1.000000	5.000000	0.139483
YBL041W	YNL216W	0.998732						1.000000	5.000000	0.151245
YER090W	YEL009C	0.998730						1.000000	5.000000	0.128281
YDR044W	YMR070W	0.998728						1.000000	5.000000	0.146380
YLR390W.A	YHR178W	0.998728						0.000000	5.000000	0.213594
YDL022W	YNL027W	0.998727						1.000000	5.000000	0.127715
YHR051W	YKL109W	0.998723						1.000000	5.000000	0.139624
